code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
190,0,20,1,59,2.571428571,47,2.625,2.428571429,2.4,1.666666667,2
56,1,18,0,59,3.857142857,60,2.625,2.285714286,2.4,2.333333333,1.5
1139,1,22,1,59,3,74,2.5,2,2.4,2.333333333,3
1162,1,22,1,59,3.285714286,63,2.5,2,2.4,2.333333333,3
15,0,18,1,59,2.857142857,46,2.125,2.714285714,2.6,1.333333333,3
1070,1,20,1,59,2.857142857,53,2.875,1.857142857,2.6,2,2
58,1,19,1,59,4,70,2.25,1.714285714,2.6,3.333333333,3
1129,0,23,1,59,4.142857143,55,2,2.857142857,2.8,1.333333333,2.5
84,1,18,0,59,3.428571429,68,2.375,2.428571429,3.2,1,2
5,1,19,1,58,3.428571429,48,2.375,2.571428571,2.2,2.333333333,1.5
47,0,20,1,58,2.857142857,40,2.75,2.285714286,2.2,1.666666667,2
141,0,19,1,58,3,41,2.875,1.714285714,2.2,2.666666667,2
50,0,18,1,58,2.857142857,50,2.25,2.571428571,2.4,2.666666667,1
1016,1,22,1,58,2.428571429,74,2.25,2.428571429,2.6,1.666666667,2.5
183,0,21,0,58,3.428571429,68,2.25,2.285714286,2.6,1.666666667,3
45,0,20,0,58,3.857142857,45,2.125,2.285714286,2.8,2.666666667,1.5
1100,1,23,1,58,3.714285714,69,2.375,1.857142857,2.8,2.666666667,2
1097,1,21,0,57,2.428571429,52,2.25,2.857142857,1.8,1.666666667,2.5
1013,1,24,1,57,3.142857143,64,2.625,1.857142857,2,3,2
153,0,19,1,57,3.571428571,65,2.125,2.428571429,2.4,2,2.5
94,1,23,1,57,2.571428571,52,2.5,2.571428571,2.6,1.333333333,1
159,0,21,1,57,3,51,2.25,2.428571429,2.6,1,3
1140,1,30,0,57,4,68,2.375,2.142857143,2.6,1.666666667,2.5
1044,0,20,1,57,3.714285714,76,2.5,2.142857143,2.6,1.333333333,2.5
1037,1,20,0,57,2.857142857,42,1.625,2.857142857,2.8,1.666666667,2.5
1231,0,23,1,56,2.857142857,56,2.125,2.428571429,1.4,2,3
17,0,21,1,56,1.571428571,35,2.625,3,1.4,1,2
1051,0,20,1,56,3.142857143,53,2.375,2.285714286,2,1.666666667,3
1122,0,22,1,56,2.857142857,50,2,2.857142857,2.2,1.666666667,2
4004,0,20,1,56,3,61,1.75,2.428571429,2.2,2.333333333,3.5
61,1,19,1,56,3.142857143,50,2.25,2.428571429,2.2,2,2
131,0,21,1,56,2.571428571,42,2.5,2,2.2,2.333333333,2
95,1,20,0,56,2.571428571,46,2.625,2,2.2,1.666666667,2.5
80,1,19,1,56,3.428571429,69,2.375,1.857142857,2.4,2.666666667,2
130,0,20,1,56,4,49,1.75,2,3,2.666666667,2.5
1092,1,30,1,56,3.428571429,57,1.75,1.714285714,3.4,2.333333333,3
26,1,20,1,55,2.571428571,58,2.25,2.285714286,1.8,2,3
1230,0,26,1,55,4,59,2.25,2.428571429,2,2,2
66,0,20,0,55,2.714285714,40,2.625,2.428571429,2,2,0.5
194,0,22,0,55,3.285714286,61,2.375,2.285714286,2,2,2
2,1,21,0,55,3,50,2,2,2.2,2.666666667,3
1081,1,22,0,55,2.857142857,69,2.25,1.857142857,2.2,2.666666667,2.5
1057,1,22,1,55,3.571428571,55,2.125,2.571428571,2.4,2,1
43,0,23,0,55,3,54,1.875,2.428571429,2.4,1.666666667,3
1131,0,22,1,55,4,53,2.25,2,2.4,2.333333333,2
218,1,20,0,55,3.142857143,62,2,1.857142857,2.4,2.666666667,3
184,1,22,0,55,3.714285714,57,2.25,2.285714286,2.8,1.333333333,1.5
106,0,20,0,55,2,70,2.125,2.142857143,2.8,2.333333333,1
1045,0,24,1,55,3.428571429,62,2.25,1.857142857,2.8,2,2
1106,0,22,1,54,2.714285714,44,1.75,2.857142857,2,2,2
216,1,21,0,54,3,79,2,2.285714286,2,2,3
4016,1,21,1,54,3,61,2.125,2.142857143,2,2.333333333,2.5
1035,0,23,1,54,3.428571429,56,1.875,2.428571429,2.2,2.333333333,2
1031,1,23,0,54,3.714285714,44,1.875,2.428571429,2.2,1.666666667,3
4013,0,22,1,54,3.857142857,55,2,2.285714286,2.2,2,2.5
4012,0,20,0,54,3.428571429,59,2.25,2.285714286,2.4,1.333333333,2
93,1,19,1,54,2.857142857,51,2.375,2.285714286,2.4,1,2
207,1,18,1,54,2.714285714,49,2.25,2.142857143,2.4,1,3
198,1,21,1,54,2.571428571,62,2.125,2,2.4,1.666666667,3
1172,1,20,1,54,3,77,1.75,2.285714286,2.6,1.666666667,3
1104,1,20,1,54,3.571428571,50,1.875,2.142857143,2.6,2,2.5
82,1,20,1,54,3.857142857,54,2.375,2.142857143,2.6,1.666666667,1
117,0,19,1,54,2.714285714,51,2.25,2,2.6,1.333333333,2.5
34,0,21,1,53,3,39,2.375,2.142857143,1.8,1.666666667,2.5
4019,0,20,1,53,2.285714286,63,2,2.571428571,2.2,1.333333333,2
149,0,20,1,53,3.857142857,50,2.25,2.285714286,2.2,1.333333333,2
1062,0,21,1,53,2.857142857,55,1.625,2.571428571,2.4,2.333333333,1.5
1127,0,22,1,53,3.857142857,60,2,2.142857143,2.4,2,2
1128,1,23,0,53,2.857142857,54,2,2,2.4,2,2.5
1019,0,20,1,53,3.857142857,45,2,2.285714286,2.8,1.666666667,1
4021,1,21,0,53,2.714285714,73,2.125,1.571428571,2.8,1.666666667,3
124,0,21,1,53,2.571428571,60,1.875,2.142857143,3,0.666666667,3
1185,0,21,0,52,3,48,2.125,2.428571429,2,1.333333333,2
222,0,21,0,52,3.285714286,79,2.125,2.428571429,2.2,1.666666667,1
1232,1,28,0,52,3.142857143,41,2.125,2.285714286,2.2,1.333333333,2
1090,0,21,0,52,3.285714286,70,1.625,2.285714286,2.4,2.333333333,2
1050,1,23,0,52,3,67,2,2.142857143,2.4,1.666666667,2
22,1,23,0,52,3.571428571,62,2.375,1.571428571,2.6,1.666666667,2
81,1,20,0,52,4,53,2,1.714285714,2.8,2,2
168,0,18,1,51,3.142857143,56,2.5,2.142857143,1.4,2,1.5
171,1,18,1,51,2,45,2,2,2,1.666666667,3
163,0,22,1,51,3.714285714,52,1.875,2,2.4,2,2
138,1,21,0,51,3.142857143,58,1.875,1.714285714,2.4,2,3
